level_0,index,datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4,timestamp_vicon,ee_base_ori_x,ee_base_ori_y,ee_base_ori_z,ee_base_ori_w,ee_top_ori_x,ee_top_ori_y,ee_top_ori_z,ee_top_ori_w
2188,2188,2023-10-20 12:04:46.863240,1697796286.86324,1.4,1.57,1.22,1.22,2.09,2.09,1.05,1.05,1697796286.849245,-0.0094192343877569,0.0092537512576814,0.3372366790336641,0.9413272908109882,0.0232777641413306,-0.1728734749673613,-0.4090485887913819,0.8956853015189367
2195,2195,2023-10-20 12:04:48.332781,1697796288.332781,1.57,1.75,1.22,1.22,2.09,2.09,1.05,1.05,1697796288.349584,-0.0115948735966612,0.0082313868721543,0.3374542555731816,0.941234523682588,-0.0020005435988151,-0.1392330813438311,-0.3791082853080672,0.9148153119048612
2205,2205,2023-10-20 12:04:50.433697,1697796290.433697,1.92,1.92,1.23,1.22,2.08,2.09,1.06,1.05,1697796290.450059,-0.0228378634746609,0.0049033131629711,0.3405284011263921,0.9399440395780176,-0.0860482908173272,-0.0555907190957509,-0.3196178008755105,0.9419924760640802
2212,2212,2023-10-20 12:04:51.903708,1697796291.903708,2.08,2.09,1.22,1.22,2.09,2.09,1.05,1.05,1697796291.950399,-0.0113720508037927,0.0082283802722434,0.3374889011821801,0.941224846568266,-0.0997876808489251,-0.0277015523335471,-0.2960478356602206,0.949542374910148
2218,2218,2023-10-20 12:04:53.162648,1697796293.162648,1.78,1.05,1.37,1.4,2.11,2.09,1.02,1.05,1697796293.15067,-0.0142747157424629,0.003908886415861,0.3382078759987605,0.9409550391542982,-0.1206654463732581,-0.0811711258943819,-0.3109566589419361,0.9392321622646072
2224,2224,2023-10-20 12:04:54.423455,1697796294.423455,1.05,1.22,1.39,1.4,2.1,2.09,1.04,1.05,1697796294.450965,-0.0109296513118693,0.0081205536473734,0.3389691755106768,0.9406989408861228,0.0933425174813725,-0.2468432417061663,-0.4633731338297193,0.8459556296278523
2231,2231,2023-10-20 12:04:55.894927,1697796295.894927,1.22,1.4,1.39,1.4,2.1,2.09,1.05,1.05,1697796295.851281,-0.0092306142537552,0.009109118896317,0.3371513779696869,0.9413611252046542,0.0734804398058908,-0.2341385637731304,-0.4376376659050506,0.8650162029126206
2241,2241,2023-10-20 12:04:57.993281,1697796297.993281,1.57,1.57,1.41,1.4,2.1,2.09,1.05,1.05,1697796297.951771,-0.0196277317703704,0.0063222254586294,0.339768833250542,0.9402828944325032,-0.0294454542247523,-0.1597890784137094,-0.3550402325192413,0.9206230764747746
2248,2248,2023-10-20 12:04:59.464521,1697796299.464521,1.75,1.75,1.41,1.4,2.06,2.09,1.05,1.05,1697796299.45211,-0.0184167532202374,0.0072083140689762,0.3399034529427767,0.9402523629785172,-0.1128711403686354,-0.085593670981349,-0.3186457728078956,0.9372292679123284
2255,2255,2023-10-20 12:05:00.933378,1697796300.933378,1.91,1.92,1.4,1.4,2.08,2.09,1.06,1.05,1697796300.95245,-0.01983444444726,0.0060447248399633,0.3409191738255742,0.9398639119751144,-0.1315311818314586,-0.0507468975748231,-0.2908887679057041,0.9463128580437083
2260,2260,2023-10-20 12:05:01.984234,1697796301.984234,1.92,2.09,1.4,1.4,2.09,2.09,1.05,1.05,1697796301.952676,-0.020082967091526,0.0061272726387656,0.3408704331022787,0.9398757783874824,-0.1319270644212647,-0.0581679143703801,-0.2944235314382549,0.94473622114663
2267,2267,2023-10-20 12:05:03.453022,1697796303.453022,2.08,1.05,1.4,1.57,2.09,2.09,1.05,1.05,1697796303.453016,-0.0114017078439533,0.0082868535087438,0.337464395950553,0.9412327611079494,-0.1483143413549408,-0.0203890507889754,-0.2652823610609978,0.9524769874733336
2275,2275,2023-10-20 12:05:05.133475,1697796305.133475,1.59,1.22,1.56,1.57,2.11,2.09,1.02,1.05,1697796305.1534,-0.0184371894210264,0.0070180413118754,0.3398334291727748,0.940278712701224,-0.1612794498342311,-0.1259870401873169,-0.3028911613266832,0.9307916787102152
2282,2282,2023-10-20 12:05:06.604227,1697796306.604227,1.59,1.4,1.58,1.57,2.09,2.09,1.02,1.05,1697796306.65374,-0.0184147173455098,0.0070696497215269,0.3398246698454709,0.940281932189658,-0.1887353906023888,-0.1132786862336146,-0.2933694480740063,0.930312452091287
2289,2289,2023-10-20 12:05:08.074922,1697796308.074922,1.59,1.57,1.57,1.57,2.09,2.09,1.02,1.05,1697796308.054057,-0.0116079193500735,0.0078851678974964,0.3374471117012595,0.941239888200701,-0.1871189302120925,-0.1132661669999381,-0.2939590480502406,0.930454383319688
2296,2296,2023-10-20 12:05:09.543304,1697796309.543304,1.59,1.75,1.57,1.57,2.09,2.09,1.02,1.05,1697796309.554396,-0.0113697170065088,0.0079796619825086,0.337397857930517,0.94125965598964,-0.1873945230599702,-0.1132918297890281,-0.293899959538431,0.9304144602345176
2305,2305,2023-10-20 12:05:11.433964,1697796311.433964,1.87,1.92,1.57,1.57,2.09,2.09,1.2,1.05,1697796311.454826,-0.0072104970990826,0.0048014327175843,0.33565315509244,0.9419458129064184,-0.1728261217497482,-0.0538898561344908,-0.2459346469843527,0.952230625667662
2313,2313,2023-10-20 12:05:13.114395,1697796313.114395,2.07,2.09,1.57,1.57,2.09,2.09,1.1,1.05,1697796313.155211,-0.0070868536026538,0.005019355945001,0.3356518822088164,0.941946068807334,-0.183642623725065,-0.0312706476753141,-0.2285405679464849,0.9555452590788356
2318,2318,2023-10-20 12:05:14.163656,1697796314.163656,1.95,1.05,1.7,1.75,2.09,2.09,1.05,1.05,1697796314.155437,-0.0071597171362036,0.004984480470803,0.3357193759150307,0.9419216496291972,-0.2297790247521916,-0.0437459756773575,-0.21282920685535,0.9486788803938296
2325,2325,2023-10-20 12:05:15.634529,1697796315.634529,1.56,1.22,1.75,1.75,2.09,2.09,1.02,1.05,1697796315.655777,-0.0075762805964777,0.0046555270315567,0.3357006593063685,0.9419267452310988,-0.302700235272219,-0.0697934649989051,-0.2256102651485268,0.9233642012062204
2332,2332,2023-10-20 12:05:17.104689,1697796317.104689,1.56,1.4,1.74,1.75,2.09,2.09,1.02,1.05,1697796317.056093,-0.0075997787772739,0.0045879805001226,0.3356891144638123,0.9419310018403516,-0.3024308594489778,-0.0702944341643754,-0.2262911850473701,0.923247836362653
2339,2339,2023-10-20 12:05:18.574774,1697796318.574774,1.56,1.57,1.74,1.75,2.09,2.09,1.02,1.05,1697796318.556433,-0.007542366103358,0.0046297121960766,0.3356540416778603,0.9419437577604416,-0.281630425201287,-0.078963856982167,-0.2328794052278741,0.9274784070328288
2347,2347,2023-10-20 12:05:20.253872,1697796320.253872,1.56,1.75,1.74,1.75,2.09,2.09,1.02,1.05,1697796320.256817,-0.0075605177879416,0.0046463361677995,0.3356705215670763,0.9419376577469876,-0.2813872040520582,-0.0792862861154564,-0.2325931354648288,0.9275965499959684
2356,2356,2023-10-20 12:05:22.144264,1697796322.144264,1.87,1.92,1.74,1.75,2.1,2.09,1.14,1.05,1697796322.157247,-0.0075395354190989,0.0048690228838044,0.3356918321679592,0.941929106587932,-0.2591768515393119,-0.0383543847712545,-0.1982811880394894,0.9444791534304168
2363,2363,2023-10-20 12:05:23.614604,1697796323.614604,2.08,2.09,1.74,1.75,2.1,2.09,1.08,1.05,1697796323.657586,-0.0070089218370997,0.0051123665776779,0.3356954156192169,0.9419306379213376,-0.2742450679742689,-0.0097934118245598,-0.174068152497643,0.9457240665557162
2369,2369,2023-10-20 12:05:24.874912,1697796324.874912,1.81,1.05,1.93,1.92,2.1,2.09,1.03,1.05,1697796324.857858,-0.0072101907980975,0.0048879232360221,0.3356480500878629,0.9419471895108076,-0.2972694530908484,-0.0534782758022489,-0.1650353635209329,0.938900567186856
2377,2377,2023-10-20 12:05:26.554652,1697796326.554652,1.22,1.22,1.93,1.92,2.08,2.09,1.04,1.05,1697796326.558243,-0.0079741393601656,0.0042950932085038,0.3357742754475006,0.9418989336566324,-0.3215619804019392,-0.0520301697695158,-0.1732669376011195,0.929445707143816
2385,2385,2023-10-20 12:05:28.234911,1697796328.234911,1.41,1.4,1.92,1.92,2.09,2.09,1.04,1.05,1697796328.258627,-0.0079607613768159,0.0043518535411381,0.3357679798031499,0.9419010305695442,-0.3486733254678719,-0.0510665722749588,-0.1692683178476326,0.920416945669893
2392,2392,2023-10-20 12:05:29.704574,1697796329.704574,1.57,1.57,1.9,1.92,2.11,2.09,1.04,1.05,1697796329.658944,-0.0077394483429991,0.0044750675603782,0.3357204802377729,0.9419192289461954,-0.3268422838367426,-0.046008361290503,-0.1721251748187899,0.9281326825305452
