level_0,index,datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4,timestamp_vicon,ee_base_ori_x,ee_base_ori_y,ee_base_ori_z,ee_base_ori_w,ee_top_ori_x,ee_top_ori_y,ee_top_ori_z,ee_top_ori_w,ee_base_pos_x,ee_base_pos_y,ee_base_pos_z,ee_top_pos_x,ee_top_pos_y,ee_top_pos_z
32,32,2023-10-24 10:43:46.530283,1698137026.530283,2.02,2.03,1.05,1.04,1.98,1.99,1.13,1.11,1698137026.490938,0.0306298447633027,-0.0311044432405908,0.9420057983490072,-0.332745251051489,0.0468787074920613,-0.0217074349345083,0.938698055472042,0.3408476708229718,152.87919923580714,329.4442110212435,41.24993546357139,150.7350999589126,342.6871387659199,119.6729322115997
33,33,2023-10-24 10:43:46.741821,1698137026.741821,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11,1698137026.791008,0.0306058597856933,-0.0311422046701853,0.9419983977837766,-0.3327648764636327,0.0467121492779519,-0.023110756170791,0.9384576014874552,0.3414398896869865,152.87560246578548,329.4507946054433,41.26437341773601,150.6737143277731,342.54318440922617,119.69876985644076
34,34,2023-10-24 10:43:46.941620,1698137026.94162,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11,1698137026.991055,0.0306066037235681,-0.0311228243610995,0.9420019420766136,-0.3327565878178598,0.0493604356752436,-0.0226523976567012,0.938207524417651,0.3417851041172737,152.87121030461853,329.44834981518727,41.26338537829157,150.6484034376454,342.4271663801694,119.69380596870084
35,35,2023-10-24 10:43:47.153098,1698137027.153098,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11,1698137027.191102,0.0307186743321619,-0.0312629267517499,0.9419924610474204,-0.3327599672256471,0.0475220330445435,-0.0234874295090506,0.9382985718229075,0.3417393555700933,152.87314696126063,329.45737680635705,41.27319398049653,150.63237817338373,342.4504852376336,119.72916333342415
36,36,2023-10-24 10:43:47.354821,1698137027.354821,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11,1698137027.39115,0.0306255288112739,-0.0308562683539141,0.94207962179815,-0.3325596997246602,0.0454309284883041,-0.0237662515038404,0.93931217764766,0.3392105967521617,152.89009401168948,329.4175929525392,41.27189856554055,150.8632999034062,342.42158417602656,119.68007317865218
37,37,2023-10-24 10:43:47.555296,1698137027.555296,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11,1698137027.591196,0.0306284434561672,-0.0307666953672738,0.942088169962936,-0.3325435143308557,0.045643060274703,-0.0231409155880183,0.939367064774654,0.3390733352700544,152.88925120106742,329.41880390064085,41.28200513352933,150.93333515761853,342.4464218392797,119.6851361684641
38,38,2023-10-24 10:43:47.765814,1698137027.765814,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11,1698137027.791243,0.0291444508584111,-0.0325187370031128,0.94188320855342,-0.3330903093351694,0.0458331161711122,-0.0231021955758,0.9393692567381816,0.339044264833929,152.87759293644513,329.4339355189384,41.01301967063896,150.91599654599898,342.44216587931817,119.6832517240628
39,39,2023-10-24 10:43:47.977364,1698137027.977364,2.04,2.03,1.05,1.04,1.99,1.99,1.12,1.11,1698137027.99129,0.0306497039653042,-0.0306171314764361,0.9417775050919116,-0.3334341281420492,0.0447756802678099,-0.0251723629837597,0.9393256902747537,0.3391588686563076,152.83601042774518,329.38275930076395,41.27890154422656,150.0546926323179,342.203140486877,119.71725539773225
40,40,2023-10-24 10:43:48.188864,1698137028.188864,2.04,2.03,1.05,1.04,1.99,1.99,1.11,1.11,1698137028.191338,0.0309212283487203,-0.029859258817963,0.942102405030444,-0.332558807936433,0.0405643214546018,-0.0263781083797622,0.940188320415054,0.3372012060748791,152.88125299499126,329.3465959621622,41.26125889772808,150.05799160071962,341.9216261669252,119.6305030420866
41,41,2023-10-24 10:43:48.398926,1698137028.398926,2.04,2.03,1.05,1.04,1.99,1.99,1.11,1.11,1698137028.391385,0.0307623068221686,-0.0293888152125504,0.9419605892894286,-0.333016855796961,0.0403768183363618,-0.0266925241276124,0.9402019647688038,0.3371609217296843,152.8749489429252,329.28690796589746,41.266792219368526,150.05632447418634,341.9216726719682,119.6372666750286
