level_0,index,datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4,timestamp_vicon,ee_base_ori_x,ee_base_ori_y,ee_base_ori_z,ee_base_ori_w,ee_top_ori_x,ee_top_ori_y,ee_top_ori_z,ee_top_ori_w,ee_base_pos_x,ee_base_pos_y,ee_base_pos_z,ee_top_pos_x,ee_top_pos_y,ee_top_pos_z
18,18,2023-10-24 10:38:23.251522,1698136703.251522,1.53,1.66,1.52,1.13,1.97,2.1,1.61,1.5,1698136703.201779,0.0303954451559969,-0.0310556017264779,0.9419788902350196,-0.3328474678689566,0.211467623633475,0.2032107065089231,0.9049873871369062,0.3081958501311641,152.80983571855194,329.3592107214824,41.29098233020552,189.1428121972572,369.0232218264796,107.41758345205515
19,19,2023-10-24 10:38:23.462918,1698136703.462918,1.66,1.76,1.39,0.85,2.1,2.13,1.46,1.35,1698136703.501849,0.030929140303593,-0.0341828665955209,0.9415526633004168,-0.3336967218048232,0.1619651395989355,0.1081242967614084,0.9306974825297628,0.3096427393260017,152.7687860528384,329.3970159180808,41.3345873757838,176.6620823568771,356.96535523936814,115.4627918212084
20,20,2023-10-24 10:38:23.673831,1698136703.673831,1.79,2.03,1.26,1.04,2.04,1.99,1.33,1.11,1698136703.701896,0.0297479346376274,-0.0330528373583038,0.941800124387986,-0.3332192912034581,0.0982407862927413,0.0366322824226936,0.9398188625052613,0.325188144729178,152.8095587533332,329.4348873189284,41.29154912781285,163.0866764703628,348.89880878762983,119.32433157585275
21,21,2023-10-24 10:38:23.884882,1698136703.884882,1.92,2.03,1.14,1.04,1.99,1.99,1.21,1.11,1698136703.901943,0.0294871146647203,-0.0327939550605661,0.9416560753936296,-0.3336748451029871,0.0559020561487964,-0.0140531954092018,0.9399225431707472,0.3364863751425345,152.79552694742773,329.4891048123316,41.27759808338293,153.28601083393605,343.4335979522783,120.10607423271156
22,22,2023-10-24 10:38:24.095557,1698136704.095557,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11,1698136704.10199,0.0293320571880339,-0.0332071321330107,0.9417564692181823,-0.3333641694638483,0.0474029971864517,-0.0221858793473605,0.938522899127623,0.3412264796706248,152.84355496826836,329.47496995652875,41.26303732922902,150.97306969870152,342.84257600462274,120.0281021644182
23,23,2023-10-24 10:38:24.306501,1698136704.306501,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11,1698136704.302037,0.0293844856245875,-0.0330797070036468,0.9417545520114916,-0.3333776368546127,0.0469975120518292,-0.0229135662111632,0.938428505408623,0.341493986156364,152.8295500906544,329.4789740323903,41.28148709392394,150.88115112923322,342.80060210327895,120.03558322132427
24,24,2023-10-24 10:38:24.517858,1698136704.517858,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11,1698136704.502084,0.0293982615685617,-0.0329269894116015,0.9417766405379696,-0.3333291390233546,0.0470653628440041,-0.0233251796632428,0.938437700008898,0.3414315023779284,152.82434119300416,329.47808652072456,41.2895457330216,150.87156382833464,342.7901458824821,120.04377796432074
25,25,2023-10-24 10:38:24.729522,1698136704.729522,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11,1698136704.702131,0.0293126130971904,-0.0330088887213071,0.9417691081224224,-0.3333498627044807,0.0468746277935765,-0.0229555663293436,0.9384587243339214,0.341425004891648,152.829135961922,329.4780391992178,41.29255612271519,150.8311593012532,342.76294159535524,120.05773036974932
26,26,2023-10-24 10:38:24.939927,1698136704.939927,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11,1698136704.902179,0.0293066093748806,-0.0328359912160475,0.9417758205786096,-0.333348502473454,0.0466769846335419,-0.023454342025548,0.9383646486102104,0.3416766588227899,152.82974719940813,329.47665833324925,41.29579822902942,150.80504876689895,342.7458662710648,120.04031591815112
27,27,2023-10-24 10:38:25.150509,1698136705.150509,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11,1698136705.102225,0.0291833749133857,-0.0329074345461581,0.941986393673392,-0.3327567662940192,0.0469451932098869,-0.0239153025745892,0.9383318283529628,0.3416980934056237,152.85100466950925,329.54083776734075,41.28925730322046,150.76746438772562,342.69609017589687,120.0573663593686
28,28,2023-10-24 10:38:25.362348,1698136705.362348,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11,1698136705.402296,0.0292628097311514,-0.0328707151387923,0.9417807070029338,-0.3333351226167997,0.0489640547703206,-0.02167695532805,0.9389913843160256,0.3397466867070651,152.82772037877734,329.4790403358881,41.29475926560928,151.1954484986451,342.76501910263465,120.0497887084058
29,29,2023-10-24 10:38:25.572759,1698136705.572759,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11,1698136705.602343,0.0293044464065244,-0.0329016600656345,0.9417793462762154,-0.3333322563348421,0.0484466702881486,-0.0219365689417367,0.9390241767975954,0.3397135594447978,152.83083251382791,329.4802378587745,41.30207567753426,151.16756258867213,342.74094118939297,120.05251676228067
30,30,2023-10-24 10:38:25.784015,1698136705.784015,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11,1698136705.80239,0.0293183856986343,-0.0328296230137935,0.9417809838099522,-0.3333335066367571,0.0485830311726914,-0.0219208653056272,0.9390197762902728,0.3397072629221994,152.83617879863004,329.48374965938444,41.30529369368767,151.1492645060817,342.73666358453727,120.05938103203312
31,31,2023-10-24 10:38:25.995344,1698136705.995344,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11,1698136706.002437,0.0292628236703167,-0.0328797313681396,0.941785609196168,-0.3333203815055447,0.0487069768102724,-0.0220211092579303,0.9389548165811706,0.339862551005659,152.83255293934008,329.4873101661376,41.29504025114922,151.1365613836108,342.73510334464555,120.05773431969054
32,32,2023-10-24 10:38:26.205820,1698136706.20582,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11,1698136706.202484,0.029181819527906,-0.0328710251332986,0.9417803358041018,-0.3333432408320889,0.0486718732551242,-0.0221487730139184,0.9389865644724458,0.3397715590629217,152.8283975885374,329.4843894972008,41.2890093248768,151.12507976654584,342.7311744226868,120.052954115645
33,33,2023-10-24 10:38:26.417283,1698136706.417283,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11,1698136706.402532,0.0291846763419465,-0.0328353223552584,0.941778783337972,-0.3333508954946592,0.048593980473622,-0.0222391959677718,0.938937200561392,0.3399131898387773,152.8290813768719,329.48643971260844,41.29657402711139,151.11834174649212,342.73352719719486,120.06435872048108
34,34,2023-10-24 10:38:26.628222,1698136706.628222,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11,1698136706.602578,0.0292193172178395,-0.0328168534506433,0.9417926487954248,-0.3333105043436527,0.0486542790776332,-0.0223026835570986,0.9389190759703324,0.3399504672928179,152.8276228916849,329.48474563396275,41.30158265682668,151.10978919295445,342.7332791509567,120.0570658891114
