level_0,index,datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4,timestamp_vicon,ee_base_ori_x,ee_base_ori_y,ee_base_ori_z,ee_base_ori_w,ee_top_ori_x,ee_top_ori_y,ee_top_ori_z,ee_top_ori_w,ee_base_pos_x,ee_base_pos_y,ee_base_pos_z,ee_top_pos_x,ee_top_pos_y,ee_top_pos_z
10,10,2023-10-24 10:36:47.244982,1698136607.244982,2.42,2.02,0.72,0.7,1.67,2.04,1.52,1.35,1698136607.200648,0.0281554164704,-0.0322708868071551,0.9416922600285392,-0.3337387448145639,-0.1005736463622627,0.0576762279090842,0.9405746285387754,0.3191829609185346,152.7387448241452,329.5923886896414,41.51850429078036,131.67315250362873,363.20152148184616,114.1586836675679
11,11,2023-10-24 10:36:47.454949,1698136607.454949,2.29,1.94,0.79,1.24,1.8,2.15,1.39,1.02,1698136607.500718,0.0285230933306064,-0.0313469484564278,0.9418064925783592,-0.3334731361093012,-0.0218698296897274,0.0209416577549327,0.9450947297593828,0.3253907025421242,152.78744750879972,329.50991694227827,41.51194183613074,142.46286781303672,353.12958699808803,118.44529815876564
12,12,2023-10-24 10:36:47.666555,1698136607.666555,2.16,1.47,0.92,1.6,1.93,2.28,1.26,1.0,1698136607.700766,0.0285404515820695,-0.0325194247806045,0.9416671970683584,-0.3337526323504453,0.0351815774038705,-0.0045530064727645,0.944019959307354,0.3279753697654385,152.7715578106235,329.58727611841914,41.50493184849969,149.82181311422386,345.97965105701775,119.86935997862948
13,13,2023-10-24 10:36:47.877244,1698136607.877244,2.03,1.15,1.05,1.7,2.06,2.43,1.13,0.87,1698136607.900813,0.0287270674489931,-0.0315206919319123,0.9418037872092424,-0.333446889285599,0.0870162405518641,-0.0313942722504568,0.9394839721400268,0.3298673061127488,152.80156195684776,329.5064166134769,41.50071544558487,157.11473122473373,338.68506471059726,120.00639935419946
14,14,2023-10-24 10:36:48.087710,1698136608.08771,1.91,1.24,1.17,1.82,2.18,2.64,1.01,0.72,1698136608.10086,0.0298289550038071,-0.0302603205399316,0.9415711626703198,-0.3341231690138587,0.1372373560427988,-0.0565213332145456,0.931438739771377,0.3322546027538842,152.8745373043536,329.409839359665,41.68222343462257,164.1080361792053,331.500706217662,119.003597298625
15,15,2023-10-24 10:36:48.299534,1698136608.299534,1.78,1.23,1.3,1.82,2.31,2.67,0.89,0.65,1698136608.300907,0.0301425492316945,-0.0299048594950602,0.941871669276405,-0.3332789893150692,0.1863366806640777,-0.0811504895994583,0.921819456525483,0.3300638257184887,152.76609482261676,329.4732014255404,41.74359269014834,170.78223722657543,324.5821155331154,116.95302237383758
16,16,2023-10-24 10:36:48.509902,1698136608.509902,1.65,1.26,1.43,1.95,2.43,2.65,0.78,0.78,1698136608.500954,0.030399343177573,-0.0302478332311626,0.941815750131411,-0.3333827249927623,0.2341336009709423,-0.0930145046550172,0.9111563544131162,0.3260733914822876,152.77129297710596,329.4486268834342,41.69780053446374,177.8561816720994,320.06933365835806,114.19158840022348
17,17,2023-10-24 10:36:48.721595,1698136608.721595,1.53,1.25,1.56,1.71,2.56,2.59,0.78,0.8,1698136608.701001,0.0289219369535326,-0.0320525947092408,0.9417829848135062,-0.3334380935811389,0.2780504538550889,-0.0880949678888746,0.9001288037830696,0.3235666211828677,152.7964387445032,329.5063403355821,41.47585440118902,184.9293566489262,318.37632508758924,111.26998596866994
18,18,2023-10-24 10:36:48.932676,1698136608.932676,1.4,1.36,1.59,1.6,2.52,2.36,0.87,0.93,1698136608.901049,0.0298171493851206,-0.0330313479605951,0.9417136744227936,-0.3334594773875418,0.2918708144248326,-0.0138040195588513,0.8865388635563001,0.3587056176522855,152.8001399092403,329.4559877734991,41.40461613342657,191.16138008954985,328.35021684001515,110.56953894257182
19,19,2023-10-24 10:36:49.143206,1698136609.143206,1.46,1.69,1.52,1.54,2.39,2.17,0.99,1.0,1698136609.101096,0.0305930545069141,-0.0336897777691073,0.9414961835424244,-0.3339371202260313,0.2467318634364015,-0.0122585080275667,0.9063302054537036,0.3428391389972655,152.74037242477277,329.4048439495062,41.411212566246405,184.44808269583223,331.77608700600297,114.029681621832
20,20,2023-10-24 10:36:49.354569,1698136609.354569,1.59,2.03,1.43,1.04,2.26,1.99,1.07,1.11,1698136609.401166,0.0298030751627085,-0.0326642010020955,0.941817310352948,-0.3332041125245593,0.1735920711399894,0.0091850284481827,0.9248383159251464,0.3383127509959887,152.81497458915837,329.4561352512326,41.3851767609881,173.9064392331601,339.8166247629837,117.7440747977189
21,21,2023-10-24 10:36:49.555381,1698136609.555381,1.72,2.03,1.31,1.04,2.13,1.99,1.1,1.11,1698136609.601213,0.0295912046340047,-0.0322795525444633,0.9417093927768764,-0.3335653019299885,0.1119750816929458,-0.0140310438700323,0.9321030751159882,0.3441635777462423,152.80755297754402,329.39579514044186,41.37868760569135,162.62567371988112,339.89764543336673,119.7078416545333
22,22,2023-10-24 10:36:49.766892,1698136609.766892,1.84,2.03,1.19,1.04,2.0,1.99,1.1,1.11,1698136609.801261,0.0297105420200385,-0.0326934595914587,0.941760216873168,-0.3333708375185516,0.0683932108649535,-0.0200673079868388,0.9359798870449512,0.3447627052119525,152.7906822066969,329.4488521359571,41.37695842329756,155.38263352161766,341.7276301951119,120.09029797933374
23,23,2023-10-24 10:36:49.977569,1698136609.977569,1.96,2.03,1.07,1.04,1.99,1.99,1.11,1.11,1698136610.001308,0.0293875136280093,-0.033023862279862,0.9417511646047562,-0.3333924752127287,0.0462975707958288,-0.0234780058852522,0.9376510439581496,0.3436798480304734,152.80134320256988,329.47410009420986,41.3829401101894,150.8355875207065,342.77917309712285,119.97297556664029
24,24,2023-10-24 10:36:50.188192,1698136610.188192,2.02,2.03,1.04,1.04,1.99,1.99,1.11,1.11,1698136610.201355,0.0291048543726217,-0.0328949142268947,0.9419645737475868,-0.332826642374797,0.0453572101745244,-0.0234796042182145,0.9377641738161886,0.3434964133404908,152.83110583541185,329.55408059807104,41.39883852472227,150.7048025479817,342.8104280797264,119.9949244677881
25,25,2023-10-24 10:36:50.398894,1698136610.398894,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11,1698136610.401402,0.0293418091194009,-0.0326867743031006,0.9417516855250953,-0.3334282469046392,0.0450793947926811,-0.0236283031939578,0.9377694034569132,0.3435085113841652,152.79628886574764,329.4914138531528,41.40030143775177,150.65850515269983,342.8171209474412,119.97606960364055
26,26,2023-10-24 10:36:50.609902,1698136610.609902,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11,1698136610.601449,0.0290584207859257,-0.0327213691398388,0.9419574957697554,-0.3328678361545522,0.0451839398289996,-0.0237721449760489,0.93777581322881,0.3434673504538845,152.83057631266294,329.5622617069553,41.40692247769764,150.64284132684176,342.832760982217,120.00093122341484
27,27,2023-10-24 10:36:50.821468,1698136610.821468,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11,1698136610.801496,0.0289945788583616,-0.0326995954246807,0.941972464772068,-0.3328331811390259,0.0450456601989769,-0.0235772302385989,0.9377687224650186,0.343518305011307,152.8191813018221,329.5601258789668,41.39192734961812,150.6250033169549,342.8424300908275,119.99470523852608
28,28,2023-10-24 10:36:51.032388,1698136611.032388,2.02,2.03,1.04,1.04,1.99,1.99,1.11,1.11,1698136611.001543,0.0289213996234221,-0.0326259646224291,0.9419596764616508,-0.3328829629112019,0.0447509793052517,-0.0235469295586639,0.9378014112822092,0.3434696565297683,152.82112287289254,329.5646891003093,41.40057136773527,150.60653522217402,342.84896382493446,120.00042470407097
29,29,2023-10-24 10:36:51.242965,1698136611.242965,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11,1698136611.20159,0.0289412742344828,-0.0326129690182993,0.9419614264528592,-0.3328775570271905,0.0458040414887694,-0.0232370896772021,0.9380448637142076,0.3426862429483017,152.81659401957847,329.5730528082723,41.43350130648941,150.5939473185091,342.8347074959973,120.05654673322368
30,30,2023-10-24 10:36:51.454493,1698136611.454493,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11,1698136611.501661,0.0287939972851719,-0.0324974370154328,0.9419715891714062,-0.3328728698792756,0.0458591576468167,-0.0232209684955439,0.9379985358388996,0.3428067546681863,152.81473503801135,329.57401008812514,41.42278360152745,150.57110054450052,342.8684886119996,120.05758809329168
31,31,2023-10-24 10:36:51.665850,1698136611.66585,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11,1698136611.701708,0.0289188979895127,-0.0323455261584097,0.9417346327138848,-0.3335466171674545,0.0458672971678311,-0.0226593738023581,0.938112111199981,0.3425323497851223,152.8033964636695,329.5093841037965,41.42896330132543,150.65043980238184,342.92159877093354,120.0554719296816
